positive-word,Count
leading,7
improving,44
top,68
incredibly,9
well,25
favor,95
good,63
enough,26
free,91
better,7
great,15
providence,3
welcome,16
congratulations,23
best,36
reconciliation,17
master,3
happy,4
dawn,1
superior,4
innovation,8
resilient,2
ready,43
civility,2
work,32
privilege,3
magical,33
leads,32
trump,8
right,29
dignity,9
easier,10
like,91
trust,3
excited,41
successes,2
rich,1
richer,1
won,16
thank,41
benevolence,6
dedicated,22
boost,18
educated,2
proud,24
cooperative,1
lively,2
impressed,1
strong,11
honored,5
affordable,3
commitment,11
qualify,8
pretty,4
delighted,2
supports,6
brilliant,11
properly,2
secure,10
vibrant,10
glad,7
awarded,8
prestigious,106
promises,1
reforms,1
lead,8
modern,4
nice,1
proven,4
effective,9
support,74
important,6
encourage,1
significant,1
wonder,19
innovative,7
posh,1
winning,19
recommend,3
popular,1
decent,2
unity,6
suitable,2
willing,2
fantastic,3
premier,4
talent,5
adjustable,4
improve,7
comprehensive,1
lucky,2
luxury,1
beautiful,14
excellence,3
appeal,1
fine,1
warm,3
useful,2
honor,2
influential,1
benefits,5
safe,1
amazing,2
fair,6
subsidizes,1
sustainability,3
worth,1
golden,1
award,6
honoring,1
comfortable,2
easy,2
love,7
celebration,3
keen,2
supported,3
outperformed,2
favour,1
success,3
protection,1
rapid,1
fresh,1
wins,2
gain,1
fun,5
appreciated,1
virtuous,1
thankful,1
subsidized,4
encouraging,5
likes,1
appreciate,1
savings,3
luck,1
humane,1
ideal,1
greatest,1
paradise,1
effectiveness,1
works,2
assurance,2
fascinating,1
ambitious,2
progressive,1
wow,1
interesting,2
clean,2
available,3
resourceful,1
sparkling,1
fast,4
wholeheartedly,1
confident,1
smarter,1
magic,1
promise,1
benefit,2
pleasure,4
contribution,1
merit,2
steady,5
elevate,1
successful,3
subsidizing,1
passion,2
succeed,1
supporting,4
talented,1
gold,1
fabulous,1
gorgeous,1
progress,1
loving,2
smartly,1
praise,1
pleases,1
respect,1
enthusiast,2
solidarity,1
helped,1
desirable,4
tough,1
unlimited,1
gained,1
intelligent,4
capable,4
protect,1
outshine,1
privileged,3
loves,2
winner,2
excel,5
reputation,1
awards,1
lovely,1
guarantee,1
diplomatic,1
fortune,1
cool,3
promising,1
unmatched,1
empower,1
precisely,1
enjoyed,2
prodigy,2
powerful,2
accomplishment,1
exciting,1
cheer,1
loved,1
proper,1
felicity,2
protective,2
freedom,1
stronger,3
clear,1
sophisticated,1
